,Character,Value
0,Ross,0.20310026262053915
1,Joey,0.17611710236687303
2,Rachel,0.1634966473394489
3,Monica,0.15191135401080896
4,Chandler,0.1445995493288724
5,Phoebe,0.09382742524145575
6,Mike Hannigan,0.014102472411963355
7,Emily Waltham,0.013376060863095262
8,Ben Geller,0.012237797248109639
9,Carol Willick,0.011434206871394336
10,Michael,0.009286245519765474
11,Bob,0.007956656388223295
12,Ursula Buffay,0.007253871058135721
13,Judy Geller,0.006388236394050081
14,Emma Geller-Greene,0.006256349492711615
15,Robert,0.0062026459022410715
16,Paul Stevens,0.0060115221032822
17,Russ,0.005988556686923881
18,Jack Geller,0.005927817608562769
19,Dan,0.005897238339649152
20,Unnamed Season 7 Characters,0.005865737717939483
21,Marcel,0.00547027713760668
22,Charlie Wheeler,0.005466560419145703
23,David,0.0053567296804823555
24,Unnamed Season 1 Characters,0.005229138891571658
25,Don,0.004848752713345438
26,Nancy,0.004540078116467699
27,Tony,0.004332721296850377
28,Mark Robinson,0.004154808526259933
29,Jen,0.004135071231978434
